id,text,label
1,Quần và áo gói trong túi zip riêng khá chất lượng,0
2,"Vải áo rẻ tiền, đường may sơ sài. đặt hàng rồi shop hủy",0
3,"Shop giao áo rẻ tiền, vải nhăn nheo, hàng fake",0
4,"Kem dưỡng phèn, giao sai loại. K hiệu quả",0
5,"Áo tệ, form xấu, giặt ra màu. K mua lại",0
6,Nhưng túi quần sau nông quá nhét ví tiền ko vừa nên làm sâu thêm nữa,0
7,Mà mình dặn 1 đen 1 xám lại giao 2 đen,0
8,"Shop làm ăn tệ, shop lừa đảo. Đừng mua",0
9,Mua r hối hận hàng nhìn rẻ tiền k chấp nhận được vcl,0
10,Mua r hối hận mùi nhựa rất nặng lởm vcl,0
11,"Giày mua về bị lem màu, chất liệu tệ. Ko nên mua",0
12,"Chất lượng k tốt, vải mỏng bị lỗi nữa",0
13,Mua r hối hận thái độ shop tệ không đẹp vcl,0
14,Giao sai mẫu nên không đánh giá chính xác sản phẩm này được,0
15,"Sp giao k đúg hình ,",0
16,Chất lượng san phẩm kém,0
17,Váy đặt size L giao size S,0
18,"Sữa rửa mặt gớm, rửa xong da ngứa. shop ko hỗ trợ đổi trả",0
19,Chán luôn,0
20,"Kem dưỡng quá tệ, gọi điện ko nghe. K hiệu quả",0
21,"Bản hơi to, nên hơi thô",0
22,"Đặt hàng rồi shop hủy. Sản phẩm quá tệ, k đáng tiền",0
23,"Chất lượng sản phẩm tuyệt vời,giao hàng nhanh,rửa sạch mỗi tội mùi này mình k thích lắm",0
24,Sản phẩm này rất xấu ko giống trong hình,0
25,"Quần bị hỏng, hàng bị rách. Shop k giải quyết",0
26,"Sản phẩm đúng mô tả, nhưng ko thấy nhãn mác, dây ngang áo nhỏ siết, quả lại to ko ôm ngực, ko mặc được, thất vọng",0
27,Còn cái size s thì bị mốc,0
28,Shop đưa 2 miếng lót giày của chân phải,0
29,IOS ko sẵn app như với android,0
30,"Áo đểu, vải nhựa. đặt 3 giao 2",0
31,Lần sau shop kiểm tra kĩ hàng giúp mình nhé,0
32,Áo chật so với số kí shop bảo,0
33,"Sản phẩm quá chán, có mùi hôi. K bao giờ mua lại",0
34,"Son quá tệ, lên màu khô. dùng 1 lần đã gãy nắp",0
35,Sp quá xấu shop ko hỗ trợ đổi trả tiền nào của nấy thôi,0
36,"Shop làm ăn rất tệ, hàng bị rách. Đừng mua",0
37,"Shop ko hỗ trợ đổi trả. Sản phẩm xấu kinh, k đáng tiền",0
38,"Quần chán, chất vải nhăn nheo, đặt hàng rồi shop hủy",0
39,Vải cũng được nhưng không đúng sai mặc không vừa,0
40,"Áo mặc rát, mặc vào ngứa da. Ko nên mua",0
41,Áo mỏng cực kì,0
42,Những mà hình trên áo bị bung tróc hết nói chung dỏm hàng rẻ nên cũng ko dám nói nhiều 👍,0
43,Vải tạm dc nhưng bị lũng lỗ và dơ nữa :((,0
44,Bự quá không mặc đc.kiểu thì ko như mình đã đặt,0
45,"Đặt áo size 40 mà nhận về đường may lỗi, xấu kinh lắm",0
46,"Sữa rửa mặt tệ, rửa xong da nổi mẩn. phí tiền",0
47,"Vải áo nilon, đường may ko đẹp. chất liệu tệ",0
48,Quan short k co tui sau nhu shop giới thieu,0
49,"Áo không giống hình, polyester, to hơn size bình thường. Tiền nào của nấy",0
50,"Đóng gói sp rất kém, hộp rách nát",0
51,Mua 2 áo giống nhau nhưng 1 cái tay dài 1 cái tay ngắn,0
52,"Quần mặc k mặc được, vải nilon. hàng như đã qua sử dụng",0
53,"Son không đẹp, lên màu bị trôi. hàng bị dính mực",0
54,Đóng gói sản phẩm không cẩn thận .giao hàng chậm,0
55,Gửi nhầm size,0
56,"Dép không đẹp, mang ngứa, giao sai size",0
57,"Serum dùng bị kích ứng, thái độ shop tệ",0
58,Mùi không được thơm,0
59,"Book Size 38 thì lại giao 39 , ko mang được",0
60,Mua áo một đằng gửi một nẻo,0
61,K vừa ý,0
62,Vải dễ nhăn,0
63,Có báo làm việc lại nhưnh chưa thấy chốt lại giao bổ sung hay sao cả,0
64,"Áo không giống hình, nhựa, đóng gói sơ sài. Tiền nào của nấy",0
65,Minh đặt màu đen mà giao màu trắng.. 😊😊😊,0
66,"Quần mặc bức bí, vải nhựa. form không đúng",0
67,Chất liệu vải nóng dưới 30% coton..nhận hàng cảm thấy thất vọng 😩,0
68,Đặt hàng rồi mà shop ko chịu đổi. Shop không uy tín,0
69,Chất lượng không tốt,0
70,Chật ở cánh tay,0
71,"Chất vải rẻ tiền, mặc ngứa. hàng như đã qua sử dụng",0
72,Phục vụ của shop quá tồi,0
73,"Shop giao áo xấu kinh, vải xấu, form không đúng",0
74,Mua r hối hận đặt 2 giao 1 quá xấu vcl,0
75,Mình chọn đúng size áo mình vẫn mặc nhưng cảm giác vẫn hơi rộng dù đã gài nút trong cùng,0
76,Nói đổi lại mà k thấy,0
77,Hàng quá chán shop vô trách nhiệm khác xa ảnh quảng cáo k nên mua nha mn,0
78,Xđ là vứt chứ mặc à,0
79,"Vải áo polyester, đường may ẩu. hàng nhìn rẻ tiền",0
80,"Shop gửi k đúng hàng, đã gửi hàng chờ shop đổi nhưng chưa thấy phản hồi",0
81,Rất xấu,0
82,Son vặn lên dc nhưng k vặn xuong dc,0
83,"Chân váy nhận về quá xấu, màu đậm hơn hình",0
84,Khi đặt hàng mjnh đã note là che tên rồi còn nhắn tin cho shop,0
85,"Giày không đúng size, shop cắt tem mác. Thất vọng",0
86,Dễ lộ ti do vải đắp ngực tiết kiệm quá,0
87,"Áo không giống hình, cứng, thái độ shop tệ. Tiền nào của nấy",0
88,Đúng màu nhưng shop giao nhầm sai shop nên kt đúng size trước khi giao cho,0
89,Áo thì đẹp nhưng mặc lên nhìn như khoác cái giẻ lau vì đặt size S mà shop bán cho size M,0
90,"Áo không giống hình, mỏng lét, gọi điện ko nghe. Tiền nào của nấy",0
91,Áo đôi cái áo nam cũng bằng nữ mặc dài rộng như váy,0
92,Hàng tệ shop quá tệ giao sai size k nên mua nha mn,0
93,Bị phai màu rất nhiều,0
94,Quá mỏng và nhìu cái rách,0
95,Hàng rất xấu shop bố láo không như mô tả k nên mua nha mn,0
96,"Váy quá chán, vải nóng, mặc vào nhìn như đồ cũ",0
97,"Sữa rửa mặt thất vọng, rửa xong da bị kích ứng. không giống hình",0
98,Đồ nhỏ xíu không mặc được,0
99,"Son thất vọng, lên màu bị trôi. nhiều lỗi nhỏ",0
100,"Hàng nhận về chán, hàng fake. 1 sao cho shop",0
101,Cẩn thận khi đặt hàng shop này,0
102,"Chiều ngang áo tầm 2 gang tay rưỡi, 1m58, nặng 42kg mặc hơi bị rộng, xém tý là rộng lố",0
103,Ib mà shop bận cũng chưa đổi đc :'(,0
104,Đường may ẩu thả,0
105,Rất không hài lòng vs sản phẩm Shop phục vụ tạm được,0
106,"Sản phẩm kém, hàng fake. K bao giờ mua lại",0
107,"Giao hàng sai size, nhỏ hơn size bình thường. Quá tệ",0
108,Đơn 4K mà shiper bảo 40k,0
109,"Áo mặc hầm, màu nhạt hơn hình. Ko nên mua",0
110,Hàng khá thất vọng. :( Chất lượng sản phẩm tạm được,0
111,"Áo mặc nóng, giặt 1 lần đã xù. Ko nên mua",0
112,"Đưa cho cái dây ko giống trong ảnh, khác màu và rất mỏng manh, yêu cầu đổi dây khác ko giải quyết",0
113,"Serum dùng bị bong tróc, hàng bị móp méo",0
114,Hàng ko giống mẫu.chất xấu.ko ưng,0
115,Vải như cái vải mùng lun 😔,0
116,"Quần không đúng size, nhỏ hơn size bình thường. thất vọng quá",0
117,"Dép quá tệ, mang cứng, hàng fake",0
118,Là áo ko đẹp như quảng cáo,0
119,Màu xấu,0
120,Shop lớn mà làm ăn chán,0
121,Mình lấy cho khách mà lại ko đúng mẫu,0
122,Sp quá chán nhắn tin ko rep tiền nào của nấy thôi,0
123,Thất vọng quá có mùi hôi hàng chán,0
124,Thất vọng lắm mn ơi chất liệu tệ đừng mua nhé,0
125,"Áo quá xấu, form xấu, đặt 2 giao 1. K mua lại",0
126,"Mua quần về mặc vào nhìn như đồ cũ, chất xấu. Chê",0
127,Sản phẩm sạc lâu nóng mà chưa hư,0
128,Chất áo nóng và không đẹp áo k giống hình Rất không đáng tiền,0
129,"Vải mỏng quá ạ, và dáng quần không đẹp ah, mặc khó coi lắm ý. 😰",0
130,"Mình đặt dài đỏ, đen ngắn nhưng giao lộn thàng đen dài ngắn đỏ",0
131,"Có mỗi tiền shipping là hơi mắc, cỡ 30% giá bàn rồi :(",0
132,"Chất vải nhăn nheo, mặc k mặc được. vải không giống mô tả",0
133,Mặc lên cực kỳ xấu,0
