id,text,label
1,"Đặt hàng lần 3, rất ưng ạ",1
2,Shop làm ăn uy tín,1
3,"Shop phục vụ rất tốt, Đóng gói sản phẩm rất đẹp và chắc chắn, Thời gian giao hàng rất nhanh",1
4,Chất lượng sản phẩm tuyệt vời vải đẹp nhưng dây dài quá,1
5,- Chúc shop làm ăn may mắn nhoa,1
6,"Chất lượng sp rất tuyệt , chất vải mềm mịn , co dãn nhiều , ck t 68kg mặc size L vừa hin luôn👍",1
7,Đẹp như hình nhưng size giày to hơn size bình thường Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh,1
8,"Áo mặc xinh nhen mấy bà, giá hạt dẻ, shop đóng gói rất cẩn thận, mn nên mua nhen💐🩷❤️💖🤟🏻🫶💓🧡",1
9,Chất vải mịn mát.,1
10,Áo đẹp lắm shop nhé,1
11,Vải OK,1
12,Màu và hoa văn ok,1
13,"Nếu có hơn 5 sao, e cũng đánh giá cho shop ạ 💓",1
14,Học xong quyển này mình sẽ tiếp tục mua sách của nhà sách này,1
15,Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh,1
16,"Áo đẹp nhá, vải nỉ bông nữa chứ",1
17,Sẽ còn phải tốn xiền với shop dài dài rồi,1
18,Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh Shop phục vụ rất tốt Rất đáng tiền Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh,1
19,"Giày đẹp, phù hợp với giá tiền",1
20,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt,1
21,"Về sp thì được, thời gian giao hàng hơi bị lâu",1
22,"Chất lượng cũng tốt , thời gian giao hàng nhanh cũng đáng tiền",1
23,À quên chị chủ shop cực đáng yêu kể mà có nhiều sao chắc cho 10 sao luôn,1
24,"Cực xinh luôn ý,em sợ sexy quá,nhưng đầm nhận form rất chuẩn,có mút ngực đàng hoàng,hở lưng cực tinh tế luôn,cảm ơn shop",1
25,"Shop phục vụ rất tốt Thời gian giao hàng rất nhanh, đường chỉ bị sút lỗ nhỏ thôi, vải hơi mỏng, nhưng cũng ok, 5 sao ủng hộ shop chủ rất nhiệt tình",1
26,"Da đẹp, chất vải mịn bên trong nhiều ngăn rộng đừng đồ thoả thích",1
27,"Áo đẹp, vải mềm mịn",1
28,"Áo vải cực đẹp,đúng như hình và shop tư vấn nhiệt tình...cám ơn !!",1
29,"Màu đẹp.bẳng nhỏ nhỏ,xinh xinh.mẫu mã rất đẹp",1
30,Shop phục vụ rất tốt 😊,1
31,Thời gian giao hàng tạm được Giá cả chấp nhận được,1
32,"Shop phục vụ rất tốt Thời gian giao hàng rất nhanh. 51kg, 1m59 mặc thoải mái",1
33,"Cảm ơn shop ạ, túi giống y hình, rất đẹp và ưng ý ạ",1
34,Tạm được; phù hợp với giá rẻ,1
35,Cảm ơn sh nhiu 😍😍😍😍😍,1
36,Rất đẹp và chất lượng 😍😍😍 nghìn sao cho shop😘😘😘,1
37,"Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh",1
38,"Áo vải đẹp mẫu đẹp giống so với hình , giao hàng nhanh , đóng gói đẹp và chắc !",1
39,"Áo ổn, hợp giá tiền",1
40,Loveyouuuuu,1
41,Vẫn tặng bạn 5* vì nhiệt tình,1
42,Nên mặc kèm váy lót sẽ ổn hơn,1
43,Đẹp lắm shop ạ đườg kim mũi chỉ k trê đc tý nào,1
44,Rat thich lun nak,1
45,"Phục vụ tốt nhanh, sp tốt, áo lót đúc đẹp chất lượng tương xứng, áo lót quả ngang ren thì k thích cho lắm",1
46,"Áo rất dày dặn, đường may cẩn thận, quần cũng khá oke",1
47,"Đồ rất đẹp nha bạn, vừa y vs mình luôn, vải mềm mịn mát, hoạ tiết lạ và siêu cute",1
48,Thời gian giao hàng chậm Chất lượng sản phẩm tốt,1
49,Ai có qả ngực tròn ko nên lấy áo kiểu này mặc nhìn bị nhọn lên với bị cấn ngực,1
50,Thấy khá okz thanks shop,1
51,Áo rất đẹp...mà mk chọn nhầm size nên hơi ngắn..,1
52,Bin cực khủng đc gần 1 tuần luôn,1
53,"Gói cẩn thận, nói chung là oke, bộ ngủ rộng mượt, áo len vải hơi mỏng chút",1
54,Đặt 1 cái trước xem vãi vũng ra làm sao... mà ai ngờ đẹp quá,1
55,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Rất đáng tiền,1
56,Phom rất ôm dáng độ dài lại vừa đẹp mặc lên tôn dáng vô cùng,1
57,Hài lòng về châdt lượng,1
58,Tư vấn rất nhiệt tình,1
59,Sẽ ủng hộ shop nhiều hơn,1
60,Áo đẹp hơn tưởng tượng,1
61,From rộng - đẹp,1
62,Chất lượng tốt mà hình thật là cute 😍😍😍,1
63,"Săn sale nên được giá tốt, không có chỉ thừa, đường may chắc chắn. Với giá tiền vậy là quá OK",1
64,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh nhưng trong ba Cây có 1 Cây son chứa khá nhiều chì,1
65,Nhưng thời gian giao hàng hơi lâu,1
66,Hàng đẹp tks shop,1
67,Giao hàng hơi lâu nhưng chất lượng ok,1
68,Rất vui,1
69,"Đóng gói sản phẩm rất đẹp và chắc chắn, hợp giá tiền",1
70,Shop giao hàng đúng yêu cầu,1
71,Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh,1
72,Nhận hàng thấy sáng suốt vl :v Chuẩn puma đẹp chất,1
73,"Dép đi nhẹ như không đi gì, êm, k mùi , sản phẩm phù hợp giá tiền,",1
74,"Đóng gói sản phẩm rất đẹp và chắc chắn , phục vụ nhanh nhẹn còn chất lượng phải dùng mới bt dc . nói chung là OK",1
75,"Giao hàng tầm 3 ngày, tư vấn dễ thương lắm, sản phẩm chất lượng như ý mình lun. Nếu có xiền sẽ ủng hộ tiếp.",1
76,Giao đúng hẹn,1
77,Vẫn cho shop 5 sao,1
78,Chua bao gio that vong khi mua do cua shop,1
79,Mua được lúc sale 30k. shop gói kĩ giao hành nhanh,1
