id,text,label
1,"Nồi cơm điện nấu nhanh, hơi bé so với 4 người ăn đó",2
2,Đẹp nhưng gửi 2đôi giống nhau nhé,2
3,Quần hơi ngắn so với trong hình :( nhé,2
4,"Balo hoc sinh rong, nhung day keo hoi kho keo",2
5,Đơn hàng báo là đã giao hàng 2phut sau nè,2
6,"Guong soi ro, dong goi can than, nhung hoi nho so voi hinh",2
7,Váy mát nhưng mỏng,2
8,Sản phẩm mình mua shop một bên có ghi mác adidas một bên lại ko có,2
9,"Chất lượng sản phẩm tạm được, áo hơi mỏng",2
10,Nhưng ship hàng quá lâu,2
11,Vì ở phía trong vải nên phải sờ bằng tay mới thấy,2
12,Doi voi muc gia nay thi day chuyen la chap nhan duoc,2
13,"Hàng như hình, mỗi tội giao hàng quá lâu",2
14,Doi voi muc gia nay thi ao phao la chap nhan duoc,2
15,Chất ok nhưng đặt sz M lại giao S,2
16,"Shop giao hang kha nhanh, toner cung tam duoc",2
17,Màu xanh mình chọn ko đẹp đâu ah,2
18,"Chất lượng chấp nhận được, sẽ thử mua thêm sản phẩm khác",2
19,"Cặp xách chắc chắn, phù hợp đi làm, hơi nặng đó",2
20,"Chat luong may uon toc tam on, chua co van de gi nha",2
21,Doi voi muc gia nay thi dau goi la chap nhan duoc nhe,2
22,Doi voi muc gia nay thi bong tai la chap nhan duoc luôn,2
23,"Công nghệ hơi lạ, ko biết có bền ko",2
24,"Vải dày,giống như hình",2
25,Kể ra ngực mà to lên 1 size nữa thì mặc hơi bị đẹp luôn,2
26,"Hàng đẹp như hình, nhưng chất jean hơi mỏng và có mùi khó chịu một chút",2
27,"Ke mat hoi to so voi mo ta, nhung van dung duoc",2
28,"Shop tu van nhiet tinh, sua rua mat thi chat luong binh thuong",2
29,So với giá thị trường thì rẻ hơn nhiều nhé,2
30,"San pham dong ho hoi nho so voi kich thuoc mo ta, nhung van dung duoc đó",2
31,Vải ko êm lắm nhưng nhìn chung sp ổn,2
32,Kể mà ước lượng được bao nhiêu kg mặc vừa nữa thì đẹp :)),2
33,Vải Áo chưa thật sự tốt lắm,2
34,"Kem chong nang thay cung duoc, nhung hoi nhon, chua biet hieu qua the nao",2
35,"Thời gian giao hàng nhanh Đáng đồng tiền. sp bị lỗi phần dưới, với giá nay thì k đòi hỏi nhìu,",2
36,"Noi chung dia cung duoc, se can nhac mua lai",2
37,"Gia hop ly, thuc an cho meo cung on, se xem xet mua them",2
38,Thank shop nhé 👌🏻,2
39,Chất vải hơi mỏng,2
40,"Nhin chung phu kien thu cung cung OK, tuy nhien co the tot hon nhé",2
