Review,Label_number,Label_text
"gói hàng soe xài. không bao bọc gì cả. cái này mà rớt là hư. chê. chỉ dán 1 lớp băng keo thôi. rất mỏng mìnhnthuwr thì không kết nối được. không bình thường so nữa",0,neg
"hàng không rộng rãi kiểu bagy, cứng thô không mềm mại như clip đâu, ngâm nước nhiều lần nhưng mùi vẫn hôi. nếu xem hàng trực tiếp mới mua thì mình sẽ không mua. cuối năm lười trả hàng nên phải chấp nhận thôi",0,neg
"thun không vừa đến, trắng, xanh than, xám nhận hàng bị chật nhưng không cho đổi. bán hàng không quan tâm khánh hàng. mọi người cân nhắc khi mua ở đây",0,neg
"tai nghe gì mà chỉ nghe được 1 bên bình thường khuyên ae nếu mua về chơi game thì không nên mua. tai nghe gì mà 2 bên như 1 không nghe được bên trái hay phải",0,neg
"không có khóa chỉ có nút bấm không đẹp tiền nào của ý kem vải thô",0,neg
"chê nha tệ hơn đồ chơi trẻ em mọi người suy nghĩ kĩ trước khi mua tiền nào của đó là có thật",0,neg
"tạm thôi cái chữ lf phía sau đâu phải in trước đâu xấu quốc mua uổn",0,neg
"thật không thể tin nổi bán buôn có tâm 1 xíu đi chứ đi bộ đội tui khổ quá rồi mà chưa đủ hay sao có tình người 1 tí đi chứ sao mà ác độc như zdị được chứ",0,neg
"chất lượng không tệ, không xuất sắc, ổn thôi, nhìn chung tạm ổn",2,neu
"không vải mỗi áo khác nhau, cửa hàng trả lời không đúng trọng tâm sau đó không phản hồi chat để làm rõ. kém. mọi người nên tìm cửa hàng khác uy tín hơn",0,neg
"bình thường màu đen không đúng với đơn hàng đã đặt mình đặt giày màu trắng, cửa hàng giao hàng màu đen. đã nhắn cho cửa hàng rất nhiều lần nhờ đổi mà không được trợ giúp. nói chung là thái độ phục vụ kém. thất vọng vì tin tưởng cửa hàng. không luôn",0,neg
"bị may dúm rất nhiều nhân viên cũng gửi cho khách. vì áo khoác ngoài nên thôi chấp nhận lấy",0,neg
"saoi màu tậm mỏng giao sai màu mỏng giao sai mâuc và màu giao sai xấu",0,neg
"không bình thường hết pin nhanh giao hàng khá nhanh dây sạc hỏng, hết pin nhanh sạc đầy chỉ nghe được 20 30p",0,neg
"tạm mình mở ra thì thấy nghe được 1 bên tai thôi sang ngày thứ 2 3 nghe nó cứ bị giật giật không nghe được luôn",0,neg
"tạm nhưng cửa hàng quá tệ vì không che tên sản phẩm lại không tế nhị gì hết",0,neg
"đen tổng hợp quá tệ, quá cẩu thả về đóng gói độc bọc 1 cái túi nilon nên móp méo hết ủa rồi hàng rẻ quá hay sao mà bán thiếu tâm vậy trời?",0,neg
"nghe được nhưng chất lượng kém không có hiện pin điện tử muốn nghe nhạc nên mua tai nghe có dây hoặc những tai nghe không dây giá tầm 80k là ổn",0,neg
"áo nhìn tạm, nên chọn lớn hơn 1sile, giao hàng bị nhầm màu, đặt áo trắng giao màu đen, khá tệ",0,neg
"hơi lag nhẹ tiếng rõ ngoài đời nhỏ lắm mí bà ơi, tầm 2 đốt tay à. giao hàng lâu",0,neg
"hmn mình nghĩ nên chọn mấy cái cỡ 10k ấy vì mình thấy cái này chất lượng cũng bình thường, không nên mua lắm",0,neg
"hàng bị lỗi. không bấm hoàn tiền được. không có nhiêu nhưng làm người mua ức chế. cửa hàng bán hàng không có tâm",0,neg
"ổn so với giá ổn không phải áo ta lỡ nha anh em hình 1 nơi giao áo 1 kiểu, áo kích cỡ l thì đúng hơn với giá này chất luệu vải là chấp nhận được",2,neu
"lỗi nhiều, chỉ dùng trog tầm giá ổn",0,neg
"tất nhanh doãng lắm mà giá này bình thường chứ không phải rẻ ạcvb",0,neg
"quần xấu không chấp nhận được",0,neg
"dỡ nghe mất kết nối quài luôn á, ban đầu nghe được tạm giữ lại sài ai dè sau tắt ngang mất kết nối, sử dụng rất khó chịu, đeo khá đau tai",0,neg
"quá xấu tạm ổn",0,neg
"tạm đúng tạm đồng hồ thì củ chầy xước, đèn thì không hiện tóm lại rẻ không nên mua nên mua loại mắc",0,neg
"mặc thoải mái 2kg mua kích cỡ 5 mà bé tí mặc vào kiểu gì ý, bảo from rộng mà ngắn tũn không bình thường cửa hàng cs giao nhầm kích cỡ không mà bé tí",0,neg
"phong cách bình thường đáng tiền không đáng tiên mặc thoải mái vừa vặn sản phẩm chất vải mòng, mang bị nóng, mới giặt thì các hình và đường kẻ trên áo quần bị dứt ra và dính lại nhau, nói chung không nên mua",0,neg
"khác với mô tả rất là xấu, xấu ơi là xấu đường kim mũi chỉ may xấu rất xấu luôn, cọng nhựa ngay sóng mũi bung ra ngoài luôn, mình gỡ ra luôn. y chang khẩu trang vải bình thường, hàng bị lỗi mà giao cho khách",0,neg
"den không ni da ca form xấu áo bèo nhèo, mỏng dính bên trong có lớp lót mỏng mặc lên không đứng form với giá tiền thì cũng tạm tạm không mong cầu hơn",0,neg
"cái đen bình thường, cái hồng thì hỏng luôn 1 bên tai sau 2 ngày sử dụng cả hộp cả giấy vứt cả đi rồi nên lười trả hàng. tự dưng thấy tiếc ngày công lao động",0,neg
"vừa đúng với tầm giá mọi người nên mua!",2,neu
"nghe ổn không vấn đề gì ổn trong tầm giá tắt trên điện thoại rồi kết nối tai nghe mở nhạc vẫn có tiếng nhạc dù điện thoại đã tắt hết toàn bộ inbox cửa hàng không sử lí",0,neg
"quá tệ tạm được",0,neg
"trang tam mỏng cửa hàng giao sai hàng, tất bị dơ, mỏng, nchung không dám mua lần 2",0,neg
"tam sai màu không đã note là 2 đen 1 xám nhưng cửa hàng vẫn gửi 3 màu cho mình?",0,neg
"giao thiếu cái bảo vệ đầu sạc, hoặc là không có, nhưng mà đẹp nên cũng tạm, chỉ là hơi thắc mắc thôi",0,neg
"phím bấm ổn, chuột ổn. tiền nào của nấy chuột giao sai màu, lâu lâu gõ khôg ăn nói chung là ổn",2,neu
"xấu bình thường không áo không đúng với hình, quá chật và quá ngắn",0,neg
"nhận hàng về mở ra bị nứt nhắn tin cho cửa hàng thì không trl, làm ăn thiếu trách nhiệm thiếu đạo đức, xứng đáng , tầm này đánh giá rồi thì không cần cửa hàng nhắn tin lại đâu nhé!",0,neg
"không đúng , cửa hàng bán nên có tâm một chút",0,neg
"tạm mặt đồng hồ bị xước nhiều cũng được",2,neu
"cái nè lộ liễu vậy à. chất cung được mà làm hỏng vải rồi. không cho nữa. đúng tiền nào của đấy thôi mà",0,neg
"tiền nào của ấy",0,neg
"cũng ổn cửa hàng làm ăn tệ. đặt 2 cái 1 cái nghe được bình thường, 1 cái màu đen hỏng bên tai trái, nghe được gì hết. nhắn tin với cửa hàng cửa hàng cũng không thèm rep",0,neg
"tai nghe 1 bên nghe to 1 bên nghe bé, pin dùng tối đa tầm 1 tiếng. so với gia thì thất vọng hơn nhiều",0,neg
"màu đẹp không được cho lắm không bình thường mọi người dùng làm sao chứ mình dùng đúng 1 lần xg hỏng luôn chắc do cơ địa mỗi người",0,neg
"bình thường chả có gì tai nghe không có 1 chút bas, nghe tệ hơn chữ tệ, đeo rất đau tai luôn",0,neg
"tai nghe dùng không nghe được 1 bên liên hệ cửa hàng huỷ hàng do đang muốn mua loại khác thì cửa hàng lại không chấp nhận",0,neg
"tệ tên ảnh ghi memo giao hàng về chả ra cái gì vứt nói chung tiền nào của nấy thôi ae treo đầu dê bán thịt chó không nên mua",0,neg
"chưa gì đã hỏng mới dùng được 2 ngày chất lượng quá kém đúng tiền nào của nấy không nên mua",0,neg
"tiền nào của đấy, bung chỉ từa lưa, mỏng teo",0,neg
"chất lượng bình thường. khả năng sẽ hỏng tư thế treo nhanh",0,neg
"đờ mờ áo xấu vãi cay cái cổ lắm nhé mỏng manh nữa nói chung là tiền nào của ấy",0,neg
"hàng giao hàng cho mình xước sát hết như là dùng rồi ý nói chung nhẹ tênh nhìn chán lắm dùng tạm sau lại phải đặt cái mới",0,neg
"ổn hồng đậm bình thường màu bên ngoài xấu lắm nha, hơi thất vọng, đã vậy còn giao trùng mẫu",0,neg
"chán, tiền nào của đấy mua tất nam kích cỡ quá bé mua về vứt đi",0,neg
"được bình thường đồng hồ bị lỗi sản xuất về dây đeo, khuynh đeo không khớp",0,neg
"áo trắng thì chất vải tạm được so với giá tiền, còn áo đen vải cứng mà còn bị lỗi nữa",0,neg
"hơi kém, tôi thấy cũng tạm được",2,neu
"đặt hàng loại có mic mà mic lại không hoạt động. Bực mình ghê",0,neg
"balo gì mà dở không chấp nhận nổi, vải còn xấu hơn họ bán xổ 50 không ngoài chợ, đúng là không nên kì vọng nhiều",0,neg
"dỏm được yes bị móp mặt phía sau tấm gián nilon ở mặt trước bị hư",0,neg
"bán hàng không có tâm chút nào khẩu trang mỏng như giấy bóng",0,neg
"tiền nào của lấy",0,neg
"không nên mua đặt trắng về thành đen vải như đúng tiền nào của đấy",0,neg
"không nên mua. phí tiền. người bán vô tâm. hàng này không nên bán",0,neg
"đặt 1 đằng, giao hàng 1 nẻo. phí tiền, làm ăn có tâm vào",0,neg
"tất chân mà bảo bó gối. lừa khách để khách nhận. làm ăn không có lương tâm",0,neg
"đúng là tiền nào của đó lừa đảo mua về sài không được. lúc nghe lúc không. nhắn tin cửa hàng thì 3 ngầy rồi không thèm rep",0,neg
"khác màu sai mẫu lởm đặt áo màu đen kích cỡ l giao áo màu bạc kích cỡ xl mẫu áo cũng khác cửa hàng làm việc vô tâm",0,neg
"sạc không ra làm sao, dùng được tầm 5 ngày hỏng sốc luôn ấy nói chung không bh mua lại",0,neg
"kém không đúng mặt đồng hồ thì bị vỡ chắc do lúc vận chuyển nên bị va đập do giá tiền nào thì của nấy nhưng không về sản phẩm",0,neg
"tạm mua 2 cái thì 1 cái hỏng mic ncl biết giá rẻ thì không đòi hỏi được nhiều nhưng cửa hàng nên kiểm soát hơn ạ",0,neg
"mọi người không nên mua hàng bên này, bên này để lộ thông tin khách hàng đó, hqa nó bình thường tui mua tai nghe rồi nó lừa tui nữa, mọi người cẩn thận",0,neg
"không mỏng, nóng cẩn phận, áo không chuẩn fom, vải mỏng mặc nóng phùn phình rất tệ. tiền nào của đó. sẽ không quay lại nữa",0,neg
"quá chán thái độ phản hồi của cửa hàng, đặt về 1 bên to 1 bên nhỏ, nhắn tin giải quyết đến bh vẫn không thèm trả lời, kiểu kệ khách hàng, bán hàng là xong không thèm quan tâm khách hàng nữa, quá thất vọng",0,neg
"giống , giao sai màu, cũng chấp nhận được",0,neg
"vải trắng tạm ổn cửa hàng đóng hàng xấu không có hộp giao hàng chậm đặt hàng cũng một hôm lấy hàng cách nhau 3 ngày, sản phẩm cũng hết pin hay sao không chạy được",0,neg
"cửa hàng làm ăn kiểu gì mà hàng không dùng được vậy. lần sau bán hàng có tâm vào nha",0,neg
"tiền nào của ấy, tai nghe đẹp nhưng âm lượng bé. dùng trong đàm thoại thì khá ổn nhưng để nghe nhạc thì không hợp lý lắm",0,neg
"không đen nhựa mang tiếng hàng hiệu, hàng siđa thì đúng hơn dùng tạm",0,neg
"mũ này là loại đểu rồi bạn mua cái y chang mà nó ôm cổ hơn, tấm chắn trong suốt. còn cái này tấm chắn màu nhám không thấy gì cả bé mình không chịu đội vì đội vào có thấy gì đâu",0,neg
"cửa hàng bán không có tâm xíu nào áo trắng bị đen 1 chỗ nhỏ với mua 3 bộ được 1 bộ dừa",0,neg
"hàng cotong bình thường không phải cotong lạnh cái to cái bé mà cùng 1 kích cỡ cạp cũng cái to cái bé không giống với ảnh có cái cạp chật và vải không thấy co giãn mấy chắc không mặc được. nói chung là thất vọng",0,neg
"hàng lởm không mọi người không nên mua vì hàng rất kém chất lượng. cửa hàng cũng không có tâm. gửi hàng rách tứ tung nhưng không đổi cho mình cái khác. ô nhỏ tí xíu mà rách cả 5 vệt to đùng mà bảo mình dùng tạm đi rách thế vẫn dùng được",0,neg
"không đeo được nha! cửa hàng làm việc không có tâm, mình nhắn tin có thắc mắc về sản phẩm mà không rep?",0,neg
"tệ nghe không hay gói hàng sơ sài, tai nghe trầy xước, dính bụi bẩn rất nhiều, nghe cũng bình thường với mình chứ với người khó tính thì là dở, dù là hàng quốc tế nói gì thì nói cách đóng gói như v làm mình rất không",0,neg
"mình thấy cửa hàng chỉ cốt bán được hàng chứ không có tâm, mình đã nhắn tin nhờ cửa hàng chỉnh giờ hộ mình vì mình đặt về nhà tặng cháu nhỏ nên cháu không biết chỉnh giờ rồi, sau đó cửa hàng không đồng ý mình đã huỷ hàng nhưng vẫn cố giao hàng",0,neg
"da cứng tạm không siết vào được",0,neg
"tạm tạm đúng không hề bật được lên, đèn không sáng, không lên đèn, mờ, đừng nên mua",0,neg
"vai độ đàn hồi bình thường tranwgs bình thường mỏng xấu tôi thấy bình thường và không đẹp không dày dặn",0,neg
"tạm là vỏ tai nghe, chứ không phải tai nghe nhé, các bạn cẩn thận bị sốp lừa",0,neg
"sấu đúng áo chán với áo tầm giá này nhiều áo ổn hơn ạ hơi mất liềm tin xúu chấm chám anh",0,neg
"tai nghe nhìn hơi khíp. nhìn kiểu nhựa rẻ tiền. không nên mua. tiền nào của đoa",0,neg
"mong cửa hàng đợt sau giao , vì đầu năm mình không đổi, đặt dưỡng thể mà giao sữa tắm",0,neg
"tệ tai nghe dùng không ổn lắm nha, tầm 1 tuần là đã hỏng không nghe được rồi",0,neg
"tệ tiền nào của đó không có móc gài",0,neg
"loa nghe tầm được 4 tiếng âm bị rè nha nói chung là là được",2,neu
"bình thường hàng bình thường bấm lỗ hơi ít nói chung không nên mua",0,neg
"ổn, nghe ổn, không quá to nhưng cũng ổn vì tai nghe đút tai mà dùng được tầm 3 tuần thì bắt đầu có hiện tượng bị lỗi nhẹ. pin không được lâu đâu chắc tầm 1 1h30 thôi, đeo lâu thì rất đau vanh tai nhé với giá rẻ thì như này là ổn rồi",0,neg
"tạm thời ổn loa tiếng to, trong vừa nghe được 4, 5 bài hát thì hết pin động đến giây sạc thì không đúng loại nhau. quá tệ",0,neg
"đồng hồ lúc mới mua thì vẫn chạy bình thuờng nhưng sao khi chỉnh thời gian thì không còn hoạt động nữa",0,neg
"bình thường không biết mua về làm gì luôn không như trên hình như lừa đảo con không biết gắn vô làm gì luôn tệ",0,neg
"chưa sài bắt và ngắm nhìn cũng tạm cho dòng android, máy iphone sử dụng với mấy máy giày khó và không sử dụng được",0,neg
"shiper không có tâm giao hàng nhắn tin xong không trả lời. tệ",0,neg
"khoá ngược rất ngu căn bản không dùng được, dây lưng bình thường sẽ là luồn ra ngoài để dễ điều chỉnh còn dây này luồn vào trong tôi cũng chịu cái . ae không nên mua tốn tiền lại còn ức chế",0,neg
"da đen gói hàng nói thật thì rất tệ. hàng thì có chố bj xứt chỉ ra. nchung là tiền nào của nấy",0,neg
"tiền nào cũng đấy",0,neg
"thắt lưng tạm được mà khó đeo lắm, không nên mua nha mọi người",0,neg
"cao su và hợp kim đen không đúng lắm đồng hồ với cái tầm giá này thì cũng tính là được đi, đồng hồ không chỉnh được giờ, nhận được đồng hồ nhìn thì rất to đeo vào chiếm hết cả tay, và hình trên cửa hàng chỉ để mình họa thui, chứ đồng hồ không hề có loại nhỏ chỉ có to và to hơn thui, với lại đóng gói rất sơ sài nhìn mà chán, nói chung là tệ",0,neg
"đồng hồ dùng 1 ngày hỏng như video nói chung là tiền nào của nấy thôi nhé",0,neg
"đen cao su đúng mo tả tiền nào của đấy. mình không toxic nhưng xài rất bất tiện. mình đã vứt",0,neg
"túi ở ngoài nhìn màu đậm hơn trong ảnh và quai nó bị chỉ thua rất nhiều cũng tạm được mong cửa hàng chú tâm hơn về sản phẩm sản phẩm bị lỗi rất nhiều",0,neg
"tiền nào của nấy nha mọi người chất lượng tệ",0,neg
"chuột bị lỗi hay sao ấy đang dùng cứ không kết nối được cho nên tôi rất phát bực, bàn phím dùng bình thường mà",0,neg
"lỗi đường chỉ 2 bên xấu không được đẹp tiền nào của đấy ạh không lên mua",0,neg
"đầu khóa bị gỉ không dài lắm nói chung là tạm được khuyên mọi người không nên mua tại vì cũng vài chục nên không cần trả hàng",0,neg
"nỉ gì quần dày dặn. dáng quần hơi ngắn. ai cao không nên mua mình mua không vừa trả lại hàng mà không được chấp nhận",0,neg
"hàng y hình nên mình không chụp. sau khoảng 1 tuần sử dụng mình thấy sản phẩm khá tệ. tai nghe không ôm vào tai và dễ rớt ra hơn cả tai nghe có dây. pin thì sạc đầy nhưng nghe được tầm 10p là báo hết pin, để trở lại hộp đựng rồi lấy ra thì pin lên 50 70 ngay lập tức nhưng 1p sau lại báo hết mặc dù đèn tín hiệu pin vẫn sáng đủ 4 ô",0,neg
"đồng hồ bị hư chốt không gài được. đặt màu bạc giao màu đồng. đồng hồ tạm tạm",0,neg
"ổn tạm khôg giống không phải coton . vãi rất mỏng luôn thật thất vọng",0,neg
"treo đầu dê bán thịt chó. cửa hàng làm ăn không có tâm không có lần 2. mọi người đừng mua nha",0,neg
"vải cho con nít mặc trắng sai hoàn toàn trên hình ghi oversize xong áo nhỏ so với hình, vải thì xấu, mỏng, nóng, cổ áo thì hình thù quái dị không được tròn như các áo bình thường khác, tóm lại là không đáng tiền mua, không bao giờ quay lại mua ở cửa hàng vì treo đầu dê bán thịt chó",0,neg
"giao hàng hơi lâu. nay dùng được tầm 1 tuần mình quay lại đánh giá. lần 1 hộp sạc pin được 10 pin. hộp sạc còn 30 mình sạc lần 2 thì sạc gần 2 tiếng vẫn 30 vẫn không lên tí nào luôn. mình đổi dây sạc vẫn thế. chắc phải mua cái khác",0,neg
"đen lúc đầu mình đặt 2c kích cỡ 30 nhưng mặc không vừa, nhờ cửa hàng hỗ trợ thì vẫn được đổi kích cỡ nhưng khi đổi thì gửi chỉ 1c, trong khi 1l gửi giao hàng 50k mà không xem kỹ để rồi gửi thiếu hàng, bán hàng rất là có tâm, xem như mình xu không",0,neg
"chả ra gì đừng mua tiền naof của ấy",0,neg
"del bình thường đen no nịt thì mềm dễ rách không nên mua",0,neg
"vải mỏng lét mấy cha ơi, không nen mua nha tại quần trắng mỏng lắm, mua về chi uổng tiền",0,neg
"hàng đặt màu hồng vậy mà giao màu đen làm việc không có tâm",0,neg
"bình thường độ tuổi sử dụng 1 ngày quá tệ sản phẩm quá tệ sao lại giao hàng như vậy được mình mua 5 cái mà giao chưa gì thấy 2 cái đã bị hư sạc thì cả ngày mới vào còn cái thì mở lên nhỏ xíu, quá tệ",0,neg
"den dung không bình thường không nên mua xài mấy bữa rách",0,neg
"điều khiển không chỉnh được nút âm lượng to nhỏ mà chỉ có tắt tiếng luôn. bật tivi xem các kênh thì không next được. đã hủy đơn hàng để đặt cái điều khiển khác nhưng cửa hàng không đồng ý. thôi dịch dã del bán được hàng vớ được khách như vớ được vàng nên tôi chấp nhận mất tiền mua về chỉ để cho con nít cầm chơi",0,neg
"thực ra là sạch phẩm tắm rửa ngâm chân hỗ trợ tắm rửa thôi nhưng mà có tóc ở trong không thấy. nói chung là sản phẩm phải có vệ sinh không phải đồ ăn nhưng mà nhìn thấy tóc đã không thích rồi",0,neg
"nhận đủ hàng. chất vải tàm tạm. nhưng hơi bất ngờ vì 12 món quà tặng lại là 10 khẩu trang loại mỏng. nhìn đơn hàng không thể nghĩ được là được tặng khẩu trang",0,neg
"đặt kích cỡ xin lỗi mà nhìn bé tẹo, giao, chất vải tạm ổn, giao hàng hơi lâu",0,neg
"cửa hàng giao nhầm kích cỡ, đặt kích cỡ xl nhưng mà giao kích cỡ l. báo thì cửa hàng không chịu xử lí. nhắn tin cũng không rep. chỉ rep không nằm trong tầm xử lí. cửa hàng giao nhầm mà báo không nằm trong tầm xử lí. giờ cái quần đó để mình làm gì? bán hàng mà thiếu trách nhiệm",0,neg
"tiền nào của đấy. y như hàng đồ chơi",0,neg
"tam nhưng dao cạo quá kém",0,neg
"tạm đồng hồ trên điều khiển chạy lệch thời gian, hẹn giờ tắt không thấy tắt",0,neg
"nói chung tiền nào vải nấy",0,neg
"đồ trên hình rất dày nhưng khi giao mỏng dính ghi là kích cỡ l 65kg nhưng 50kg mặc là chật rồi nhắn cửa hàng giao mỏng vậy đánh giá nha thì không giải quyết vấn đề bán hàng không có tâm",0,neg
"được không bình thường thề không dùng được đâu, mua về bật mãi không lên, cửa hàng cbi nhận lại hàng dùm em với anh, trên ảnh thì cho vào hộp mà cho vào túi, màn hình thì xước, cạn phước",0,neg
"không vải mỏng tăn tạm áo mềm xèo, vải mỏng, tệ. như vầy mà giá 50 mấy không thì đắt. biết thế mua bên tốp tốp",0,neg
"không phải thun lạnh, và không co giãn. tiền nào của đấy",0,neg
"sản phẩm gì mà tệ hết chỗ nói vải mỏng tanh, mặc giặt 2 lần chắc bỏ quần mấy lần mình mua quần cửa hàng khác giá hơn đây tầm 10k mà vải dày dặn rất ổn luôn săn giảm giá 12. 12 67k sợ vãi chừa luôn ai mua nhớ né ra nha. mua về không mặc được đâu",0,neg
"Sữa tắm dùng thử rồi, không tệ lắm, sài được",2,neu
"hàng quá xấu! nhờ người nhận hộ nên không kiểm tra hàng được! sản phẩm giới thiệu và thực nhận quá khác nhau! bán hàng không có tâm",0,neg
"xám và đen đúng chất lượng tạm được, có vớ lỗi, trước khi gửi hàng cửa hàng nên kiểm tra hàng kỹ rồi hả đóng gói",0,neg
"mới nhận hàng nhưng mà tắm lần đầu đồng hồ có hiện tượng vô nước và mất số",0,neg
"làm ăn không có tâm biết dơ vẫn gửi cho khách tưởng giặt ra không trả hàng ai ngờ không hề ra luôn vải quần màu này xấu nha",0,neg
"vai xanh ổn vải khá mỏng, hình như không phải gân tăm mà nó mỏng hơn, tay áo khá nhỏ, chắc cho mấy bé gầy mặc",0,neg
"nghe tầm 1 tiếng là hết pin. xài chưa được 1 tuần là sạc pin không vào nha",0,neg
"nau thun tăm giá rẻ, chất mặc mùa thu ổn, mỗi tội quần quá dài, áo hơi hở cổ, màu xấu lắm",0,neg
"chống nước tạm bas căng lắm ạ. điểm trừ là lâu lâu bị lỗi mất 1 bên tai nghe, sạc 2 3h mà pin 50 trong khi để sạc 1h là đầy?",0,neg
"so với tầm giá thì mình thấy không ổn lắm đường chỉ may xấu bóp giao tới tay khách thì da bị nhăn nheo. nếu kêu mua lại thì mình không",0,neg
"đáng tiền được cái mũ hơi rộng phù hợp đi đườg rét hằg ngày chê cái kính lỗi nổi gần nhăn vậy bé nhìn không rõ rồi còn hỏg mắt ra, như kiểu hàg lỗi không bán được trực tiếp nên gửi bán khách ol vậy. mua có tâm bán hàg trả có tâm này ls được nh khách và lâu dài nũa",0,neg
"tạm ổn giao không đúng mẫu mua loại kia lại đi giao loại quần khi bóc quên quay video nên cũng không đổi được tạm được không nên mua nha ae",0,neg
"kha giống quá tệ bình thường , quá tệ",0,neg
"ghi form áo rộng tay lỡ mà lúc giao rất bé mặc chật không đúng với miêu tả, chất vải mỏng không thể chấp nhận, nhắn tin cửa hàng xin đổi kích cỡ nhưng không đọc, đừng nên mua cửa hàng này làm ăn vớ vẩn",0,neg
"đúng là tiền nào của đó. hàng gia công kém chất lượng. chưa dùng đã hỏng khoá bung nam châm ra. khuyên mọi người nên mua hàng khác",0,neg
"nhưa bình thường sai không nên mua cửa hàng không reo tn",0,neg
"không tệ cũng không xuất sắc, dùng được thôi, nhìn chung tạm ổn",0,neg
"đen không bình thường không có nút mở nhựa thì nó giống như có ai đốt vậy không nên mua nếu mà có đánh giá thì tôi đánh giá 0 rồi",0,neg
"lấy hàng về đồng hồ có pin nhưng kim dây không chạy lắc hơi mạnh một xíu thì kim phút với kim giờ nó lệch luôn chả hỉu sao đúng là tiền nào của đấy",0,neg
"chất vải quá xấu. chắc tiền nào của đấy",0,neg
"sạc không ra làm sao, dùng được tầm 5 ngày hỏng sốc luôn ấy nch không bh mua lại",0,neg
"sản phẩm . sticker dễ thương. nhưng chắc xui, mình sạc 10 bật chưa hát hết 1 bài tầm 4p thì pin báo còn 10",0,neg
"cửa hàng làm ăn không có tâm, lh đổi kích cỡ thì ổn xong vào huỷ đơn hoàn, đợi hết ngày hoàn thì nhắn xin lỗi nhờ gỡ bình luận",0,neg
"tiền nào của nấy. vải xấu như chưa từng. mỏng lét. thấy ghê. nên mua quần áo ở ngoài cho dễ lựa. mua online sợ quá",0,neg
"mô tả đúng nhưng hơi quá yếu cửa hàng , tuy nhiên sản phẩm lúc nhận không như mong đợi, để điện thoại dọc thì đổ, để ngang thì bấy, đúng là tiền nào của ấy. mọi người cân nhắc khi mua",0,neg
"hồng, xanh tạm giao thiếu đồ đặt 2 giao một nhắn không trả lời tiếc là shope không có nút 0 nhỉ",0,neg
"vải trắng tạm tất mỏng quá, được cái giao nhanh cho nên tạm",2,neu
"gói hàng không cẩn thận giao tới nơi thì hàng bị vỡ vụn luôn cửa hàng gói hàng không có tâm vì mua shope đổi trả rất loằng ngoằng khó khăn cho nên bán hàng phải có tâm một chút để người bán và người mua được",0,neg
"dùng tạm, không xuất sắc không tệ lắm, nhìn chung tạm ổn",2,neu
"màu đen đẹp tai thì nghe to, tai thì nghe bé tí, tạm tạm",2,neu
"chất mỏng không được đẹp, áo rẻ tiền nên kích cỡ số cũng không chuẩn được là phải, ai ham rẻ thì mua mặc tạm cũng được, định hoàn lại mà lắm thủ tục rắc rối đành thôi",2,neu
"tệ, siêu tệ, bán hàng không có tâm, không có dây giày sao mang? nhắn tin cửa hàng thì trả lời như nói trên đầu khách, nói tới thì đổ thừa nhân viên làm ăn tắc trách, thấy khách khác phản hồi không có dây thì những đơn khác ktra lại đàng hoàng đi chứ, đơn nào cũng bị nói thì đến chịu",0,neg
"tấm hình nói lên tất cả",0,neg
"tai nghe nghe cũng tạm, nhưng không đóng được nắp nha, bị bung luôn ý",0,neg
"không bình thường đúng khẩu trang lần này may rất xấu. tôi đã vứt đi 2 cái. không hề ôm vào mặt mà trông rất buồn cười. thất vọng luôn",0,neg
"mình dùng shope lâu rồi nhưng đây là lần đầu tiên đánh giá 1 1 sản phẩm khi mua ở đây. mình đặt nhầm kích cỡ áo, sau đó mình nhắn tin cho cửa hàng nhờ đổi kích cỡ nhưng cửa hàng không hỗ trợ và kêu mình hủy đơn hàng. mình bấm hủy thì cửa hàng không chấp nhận và vẫn giao hàng cho bên vận chuyển. cực kỳ tồi tệ",0,neg
"là một người mua hàng nhiều trên các nền tảng lần đâu thấy 1 đơn hàng đóng gói sơ xài. thật sự rất tệ, nhận hàng chỉ được dô túi chống sốc và chất lượng nghe cũng bình thường không hay lắm",0,neg
